Code,Message,Provider,Catégorie,Occurrences,Dernière_Occurrence,Date_Mise_A_Jou
$0600,,"CORS, PROVIDER_UNCLASSIFIED",unknown,536,2026-03-09 11:02:59,2026-03-19 21:45:34
$0002,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,514,2026-03-19 13:13:49,2026-03-19 21:45:34
2,,"PROVIDER_UNCLASSIFIED, SPGO",unknown,502,2026-03-03 22:19:23,2026-03-19 21:45:34
0600,,YPSILON_HISTO,unknown,497,2026-03-02 11:54:45,2026-03-19 21:45:34
VIDEOAL2,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,495,2026-03-19 12:25:38,2026-03-19 21:45:34
,mise en service 0003,CORS,unknown,493,2026-02-28 05:50:13,2026-03-19 21:45:34
VIDEOMAIL,,"CORS, PROVIDER_UNCLASSIFIED",unknown,485,2026-03-12 14:11:32,2026-03-19 21:45:34
0009,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,484,2026-03-09 11:44:04,2026-03-19 21:45:34
344,disparition brouillage detecteur 0600,"CORS, YPSILON_HISTO",unknown,464,2026-03-19 16:12:27,2026-03-19 21:45:34
02402,,"CORS, PROVIDER_UNCLASSIFIED",unknown,461,2026-03-12 18:24:54,2026-03-19 21:45:34
344,apparition brouillage detecteur 0600,"CORS, YPSILON_HISTO",unknown,453,2026-03-19 16:08:01,2026-03-19 21:45:34
1,,"PROVIDER_UNCLASSIFIED, SPGO",unknown,451,2026-03-04 03:46:54,2026-03-19 21:45:34
01409,,"CORS, PROVIDER_UNCLASSIFIED",unknown,444,2026-03-13 04:56:01,2026-03-19 21:45:34
ARID,,"CORS, PROVIDER_UNCLASSIFIED",unknown,436,2026-03-13 04:26:18,2026-03-19 21:45:34
,mise en service,CORS,unknown,429,2026-02-28 05:06:52,2026-03-19 21:45:34
,mise hors service 0003,CORS,unknown,427,2026-02-28 06:04:32,2026-03-19 21:45:34
0047,,"SPGO, YPSILON_HISTO",unknown,413,2026-03-04 02:31:00,2026-03-19 21:45:34
776,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,407,2026-03-19 16:52:10,2026-03-19 21:45:34
01401-MHS,mise hors service 0008,CORS,unknown,404,2026-03-19 16:48:54,2026-03-19 21:45:34
100001,,"PROVIDER_UNCLASSIFIED, SPGO",unknown,400,2026-03-19 04:53:09,2026-03-19 21:45:34
01401-MHS,mise hors service 0004,CORS,unknown,398,2026-03-19 16:20:33,2026-03-19 21:45:34
710,apparition coupure ip 0911,"CORS, SPGO, YPSILON_HISTO",unknown,389,2026-03-19 16:14:08,2026-03-19 21:45:34
01401,mise en service,CORS,unknown,387,2026-03-19 16:50:28,2026-03-19 21:45:34
01401-MHS,mise hors service,CORS,unknown,385,2026-03-19 16:55:29,2026-03-19 21:45:34
,test cyclique gprs,"CORS, YPSILON_HISTO",unknown,382,2026-03-01 06:07:14,2026-03-19 21:45:34
01401-MHS,mise hors service 0006,CORS,unknown,366,2026-03-19 11:45:23,2026-03-19 21:45:34
,mise en service auto 0000,CORS,unknown,365,2026-02-28 06:00:45,2026-03-19 21:45:34
01401,mise en service 0008,CORS,unknown,356,2026-03-19 16:38:58,2026-03-19 21:45:34
0010,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,356,2026-03-09 11:49:41,2026-03-19 21:45:34
$0001,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,349,2026-03-19 05:49:40,2026-03-19 21:45:34
01401-MHS,mise hors service 0005,CORS,unknown,335,2026-03-19 15:49:12,2026-03-19 21:45:34
01403,,"CORS, PROVIDER_UNCLASSIFIED",unknown,327,2026-03-13 05:30:32,2026-03-19 21:45:34
0100,,"CORS, PROVIDER_UNCLASSIFIED, YPSILON_HISTO",unknown,322,2026-03-09 11:39:08,2026-03-19 21:45:34
01401,mise en service 0006,CORS,unknown,321,2026-03-19 16:34:08,2026-03-19 21:45:34
02403,,"CORS, PROVIDER_UNCLASSIFIED",unknown,321,2026-03-13 05:01:01,2026-03-19 21:45:34
0012,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,317,2026-03-09 09:43:12,2026-03-19 21:45:34
01401,mise en service 0007,CORS,unknown,316,2026-03-19 16:21:52,2026-03-19 21:45:34
01401,mise en service 0004,CORS,unknown,313,2026-03-19 16:49:18,2026-03-19 21:45:34
28673,,"PROVIDER_UNCLASSIFIED, SPGO",unknown,313,2026-03-19 07:56:37,2026-03-19 21:45:34
02403,mise en service auto 0000,CORS,unknown,308,2026-03-19 13:03:56,2026-03-19 21:45:34
0001,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,300,2026-03-09 11:32:50,2026-03-19 21:45:34
95,mise hors service 0100,CORS,unknown,298,2026-03-19 16:56:07,2026-03-19 21:45:34
$0067,,"CORS, SPGO",unknown,297,2026-03-18 19:26:31,2026-03-19 21:45:34
,mise hors service,"CORS, YPSILON_HISTO",unknown,296,2026-03-01 05:47:35,2026-03-19 21:45:34
,operator action cam1 1 connexion resultat succcs,CORS,unknown,294,2026-03-17 05:33:45,2026-03-19 21:45:34
0011,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,292,2026-03-09 09:59:58,2026-03-19 21:45:34
01400,,"CORS, PROVIDER_UNCLASSIFIED",unknown,291,2026-03-13 03:31:01,2026-03-19 21:45:34
94,mise en service 0100,CORS,unknown,288,2026-03-19 16:42:47,2026-03-19 21:45:34
03401,,"CORS, PROVIDER_UNCLASSIFIED",unknown,280,2026-03-13 05:21:32,2026-03-19 21:45:34
01401,mise en service 0005,CORS,unknown,278,2026-03-19 16:45:25,2026-03-19 21:45:34
02407-MHS,mise hors service a distance 0000,CORS,unknown,278,2026-03-19 13:57:04,2026-03-19 21:45:34
,mise en service 0005,CORS,unknown,277,2026-02-28 04:50:44,2026-03-19 21:45:34
,mise en service 0004,CORS,unknown,275,2026-02-28 05:23:30,2026-03-19 21:45:34
$0076,,SPGO,unknown,274,2026-03-19 04:38:52,2026-03-19 21:45:34
0600,apparition brouillage detecteur 0600,CORS,unknown,271,2026-02-28 05:54:23,2026-03-19 21:45:34
01401-MHS,mise hors service 0007,CORS,unknown,270,2026-03-19 15:01:49,2026-03-19 21:45:34
02402-MHS,mise hors service 0000,CORS,unknown,267,2026-03-19 16:51:45,2026-03-19 21:45:34
0003,,CORS,UNK,267,2026-03-05 11:59:12,2026-03-19 21:45:34
0600,disparition brouillage detecteur 0600,CORS,unknown,264,2026-02-28 06:04:21,2026-03-19 21:45:34
570,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,263,2026-03-19 16:12:23,2026-03-19 21:45:34
130,,"CORS, PROVIDER_UNCLASSIFIED",unknown,256,2026-03-13 05:23:14,2026-03-19 21:45:34
796,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,251,2026-03-19 11:36:56,2026-03-19 21:45:34
,mise en service 0006,CORS,unknown,251,2026-02-28 05:29:15,2026-03-19 21:45:34
02401-MHS,mise hors service,CORS,unknown,245,2026-03-19 16:17:52,2026-03-19 21:45:34
,mise en service 0008,CORS,unknown,244,2026-02-28 05:52:21,2026-03-19 21:45:34
761,,"CORS, SPGO",unknown,243,2026-03-19 16:51:21,2026-03-19 21:45:34
,mise en service 0007,"CORS, YPSILON_HISTO",unknown,243,2026-03-01 01:25:50,2026-03-19 21:45:34
100002,,"PROVIDER_UNCLASSIFIED, SPGO",unknown,240,2026-03-18 18:09:31,2026-03-19 21:45:34
,l analyse a echoue en 0 0 secondes,SPGO,unknown,233,2026-03-01 16:19:42,2026-03-19 21:45:34
,erreur d analyse fixed picture detected,SPGO,unknown,231,2026-03-01 16:19:42,2026-03-19 21:45:34
01403,mise en service auto 0000,CORS,unknown,227,2026-03-19 05:04:33,2026-03-19 21:45:34
28674,apparition intrusion detection par camera 1 c1,SPGO,unknown,222,2026-02-28 12:08:09,2026-03-19 21:45:34
,mise hors service 0008,CORS,unknown,220,2026-02-28 06:06:09,2026-03-19 21:45:34
02401,mise en service,CORS,unknown,219,2026-03-19 16:22:16,2026-03-19 21:45:34
,mise en service 0009,CORS,unknown,218,2026-02-28 04:21:44,2026-03-19 21:45:34
330,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,216,2026-03-17 15:56:22,2026-03-19 21:45:34
01401-MHS,mise hors service 0009,CORS,unknown,213,2026-03-19 12:59:33,2026-03-19 21:45:34
$0003,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,210,2026-03-19 13:13:42,2026-03-19 21:45:34
,mise hors service 0004,"CORS, YPSILON_HISTO",unknown,209,2026-03-01 05:59:19,2026-03-19 21:45:34
,apparition myvideosuite,"CORS, YPSILON_HISTO",unknown,207,2026-03-01 06:04:25,2026-03-19 21:45:34
0013,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,205,2026-03-09 09:17:18,2026-03-19 21:45:34
$0007,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,199,2026-03-17 16:06:11,2026-03-19 21:45:34
0000,,CORS,UNK,193,2026-03-05 11:49:52,2026-03-19 21:45:34
$0101,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,188,2026-03-19 09:49:56,2026-03-19 21:45:34
$0009,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,186,2026-03-18 03:34:41,2026-03-19 21:45:34
02409,,"CORS, PROVIDER_UNCLASSIFIED",unknown,186,2026-03-13 05:36:39,2026-03-19 21:45:34
0102,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,186,2026-03-09 09:24:54,2026-03-19 21:45:34
,mise hors service 0005,CORS,unknown,186,2026-02-28 06:01:50,2026-03-19 21:45:34
01401,mise en service 0009,CORS,unknown,185,2026-03-19 16:15:56,2026-03-19 21:45:34
SMAIL,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,185,2026-03-19 02:25:20,2026-03-19 21:45:34
0911,disparition coupure ip 0911,CORS,unknown,185,2026-02-28 05:38:25,2026-03-19 21:45:34
0017,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,184,2026-03-09 08:15:01,2026-03-19 21:45:34
0101,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,179,2026-03-09 11:48:53,2026-03-19 21:45:34
760,,"CORS, SPGO",unknown,177,2026-03-19 16:52:51,2026-03-19 21:45:34
01401-MHS,mise hors service 0010,CORS,unknown,177,2026-03-19 08:48:21,2026-03-19 21:45:34
$0006,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,174,2026-03-16 20:02:06,2026-03-19 21:45:34
0004,,CORS,UNK,169,2026-03-05 11:53:56,2026-03-19 21:45:34
$0004,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,168,2026-03-15 17:25:25,2026-03-19 21:45:34
356,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,167,2026-03-18 18:31:16,2026-03-19 21:45:34
VIDEOAL,,"CORS, PROVIDER_UNCLASSIFIED",unknown,167,2026-03-12 16:18:01,2026-03-19 21:45:34
$MAINT,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,165,2026-03-17 12:01:46,2026-03-19 21:45:34
$0005,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,165,2026-03-16 20:02:36,2026-03-19 21:45:34
,mise en service 0002,CORS,unknown,161,2026-02-28 05:42:33,2026-03-19 21:45:34
$0010,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,160,2026-03-15 01:24:38,2026-03-19 21:45:34
$0013,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,159,2026-03-17 09:43:28,2026-03-19 21:45:34
0005,,CORS,UNK,158,2026-03-05 11:34:52,2026-03-19 21:45:34
,mise hors service 0009,CORS,unknown,158,2026-02-28 06:05:06,2026-03-19 21:45:34
$MAINT2,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,157,2026-03-17 13:07:36,2026-03-19 21:45:34
95,mise hors service 0002,CORS,unknown,156,2026-03-19 15:52:19,2026-03-19 21:45:34
0900,,"PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,155,2026-03-03 20:04:05,2026-03-19 21:45:34
94,mise en service 0002,CORS,unknown,152,2026-03-19 16:43:51,2026-03-19 21:45:34
$0011,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,151,2026-03-13 04:53:23,2026-03-19 21:45:34
02401-MHS,mise hors service 0003,CORS,unknown,149,2026-03-19 15:12:32,2026-03-19 21:45:34
02400,,"CORS, PROVIDER_UNCLASSIFIED",unknown,148,2026-03-13 05:08:08,2026-03-19 21:45:34
,mise hors service 0006,CORS,unknown,148,2026-02-28 06:00:39,2026-03-19 21:45:34
,mise hors service auto 0000,CORS,unknown,147,2026-02-28 06:00:32,2026-03-19 21:45:34
$0015,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,146,2026-03-17 00:15:56,2026-03-19 21:45:34
01403-MHS,mise hors service auto 0000,CORS,unknown,145,2026-03-19 07:44:58,2026-03-19 21:45:34
$0102,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,145,2026-03-17 18:21:10,2026-03-19 21:45:34
,mise hors service 0007,CORS,unknown,144,2026-02-28 05:50:16,2026-03-19 21:45:34
01401-MHS,mise hors service 0011,CORS,unknown,142,2026-03-19 08:29:55,2026-03-19 21:45:34
$0451,,CORS,unknown,142,2026-03-09 11:37:29,2026-03-19 21:45:34
301,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,141,2026-03-14 08:56:00,2026-03-19 21:45:34
0008,,CORS,UNK,141,2026-03-05 11:03:38,2026-03-19 21:45:34
609,apparition ouverture portail bridge 0900,"CORS, SPGO",unknown,137,2026-03-19 10:18:34,2026-03-19 21:45:34
,controle video effectue pas de presence ni anomalie,SPGO,unknown,137,2026-03-01 16:23:57,2026-03-19 21:45:34
0006,,CORS,UNK,136,2026-03-05 11:57:15,2026-03-19 21:45:34
28673,apparition fin intrusion detection par camera c1,SPGO,unknown,136,2026-01-29 06:21:10,2026-03-19 21:45:34
0015,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,135,2026-03-09 10:12:06,2026-03-19 21:45:34
$0000,,"CORS, PROVIDER_UNCLASSIFIED",unknown,134,2026-03-09 12:00:00,2026-03-19 21:45:34
01401,mise en service 0010,CORS,unknown,129,2026-03-19 05:17:01,2026-03-19 21:45:34
,mise hors service 0002,CORS,unknown,129,2026-02-28 06:02:53,2026-03-19 21:45:34
711,,CORS,unknown,128,2026-03-13 03:40:31,2026-03-19 21:45:34
01409-MHS,,YPSILON_HISTO,unknown,128,2026-03-02 11:34:16,2026-03-19 21:45:34
0503,,"CORS, PROVIDER_UNCLASSIFIED",unknown,127,2026-03-09 10:28:20,2026-03-19 21:45:34
342,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,126,2026-03-17 12:23:01,2026-03-19 21:45:34
,mise en service 0100,CORS,unknown,126,2026-02-28 01:31:27,2026-03-19 21:45:34
01401,mise en service 0011,CORS,unknown,125,2026-03-19 16:13:56,2026-03-19 21:45:34
381,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,125,2026-03-19 06:14:03,2026-03-19 21:45:34
0911,apparition coupure ip 0911,CORS,unknown,125,2026-02-28 05:38:25,2026-03-19 21:45:34
03401-MHS,,YPSILON_HISTO,unknown,119,2026-03-02 11:03:13,2026-03-19 21:45:34
02401,mise en service 0003,CORS,unknown,118,2026-03-19 10:42:23,2026-03-19 21:45:34
02402,mise en service 0005,CORS,unknown,117,2026-03-19 16:48:14,2026-03-19 21:45:34
$0012,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,117,2026-03-13 04:52:32,2026-03-19 21:45:34
$0008,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,115,2026-03-17 06:13:24,2026-03-19 21:45:34
0002,,CORS,UNK,115,2026-03-05 11:50:08,2026-03-19 21:45:34
,mise en service 0011,CORS,unknown,115,2026-02-28 04:34:26,2026-03-19 21:45:34
02403-MHS,mise hors service auto 0000,CORS,unknown,114,2026-03-19 13:02:26,2026-03-19 21:45:34
12320,,SPGO,unknown,114,2026-03-19 09:09:50,2026-03-19 21:45:34
,mise hors service 0100,CORS,unknown,114,2026-02-28 06:08:09,2026-03-19 21:45:34
350,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,112,2026-03-13 03:07:45,2026-03-19 21:45:34
95,mise hors service 0003,CORS,unknown,110,2026-03-19 16:44:14,2026-03-19 21:45:34
02409-MHS,,YPSILON_HISTO,unknown,110,2026-03-02 11:42:24,2026-03-19 21:45:34
,debut de levee de doute video,SPGO,unknown,110,2026-03-01 14:15:27,2026-03-19 21:45:34
X330,,"CORS, SPGO",UNK,108,2026-03-02 13:45:39,2026-03-19 21:45:34
02402-MHS,,YPSILON_HISTO,unknown,108,2026-03-02 11:58:47,2026-03-19 21:45:34
,mise en service 0010,CORS,unknown,108,2026-02-28 05:50:51,2026-03-19 21:45:34
2026,,"CORS, SPGO",UNK,106,2026-03-05 11:39:56,2026-03-19 21:45:34
$0039,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,105,2026-03-18 02:39:10,2026-03-19 21:45:34
02407,,"CORS, PROVIDER_UNCLASSIFIED",unknown,104,2026-03-13 05:00:16,2026-03-19 21:45:34
,cam1 6 ajout de la camera resultat succes,SPGO,unknown,104,2026-03-01 14:15:37,2026-03-19 21:45:34
,cam1 5 ajout de la camera resultat succes,SPGO,unknown,104,2026-03-01 14:15:36,2026-03-19 21:45:34
,cam1 3 ajout de la camera resultat succes,SPGO,unknown,104,2026-03-01 14:15:35,2026-03-19 21:45:34
,cam1 1 ajout de la camera resultat succes,SPGO,unknown,104,2026-03-01 14:15:34,2026-03-19 21:45:34
,cam1 2 ajout de la camera resultat succes,SPGO,unknown,104,2026-03-01 14:15:33,2026-03-19 21:45:34
,cam1 1 activation du mode multi flux resultat succes,SPGO,unknown,104,2026-03-01 14:15:33,2026-03-19 21:45:34
$0047,disparition alarme technique 47 defaut cam avigilon,SPGO,unknown,104,2026-03-01 11:48:06,2026-03-19 21:45:34
$0106,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,101,2026-03-19 04:36:50,2026-03-19 21:45:34
$0018,,"CORS, PROVIDER_UNCLASSIFIED",unknown,101,2026-03-12 17:27:24,2026-03-19 21:45:34
0018,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,101,2026-03-09 07:39:59,2026-03-19 21:45:34
,cam1 4 ajout de la camera resultat succes,SPGO,unknown,100,2026-03-01 14:15:36,2026-03-19 21:45:34
,cam1 1 connexion resultat succes,SPGO,unknown,100,2026-03-01 14:15:33,2026-03-19 21:45:34
$0016,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,98,2026-03-14 18:43:01,2026-03-19 21:45:34
02402,mise en service 0009,CORS,unknown,97,2026-03-19 15:52:01,2026-03-19 21:45:34
,cam1 7 ajout de la camera resultat succes,SPGO,unknown,96,2026-03-01 14:15:37,2026-03-19 21:45:34
0504,,"CORS, PROVIDER_UNCLASSIFIED",unknown,95,2026-03-09 09:34:44,2026-03-19 21:45:34
0039,,"CORS, SPGO, YPSILON_HISTO",unknown,95,2026-03-04 19:44:21,2026-03-19 21:45:34
,la decision de l ia est refusee l alarme est presentee,SPGO,unknown,95,2026-03-01 15:35:45,2026-03-19 21:45:34
0026,,"CORS, YPSILON_HISTO",unknown,94,2026-03-09 06:26:40,2026-03-19 21:45:34
,mise hors service 0000,CORS,unknown,94,2026-02-27 18:54:16,2026-03-19 21:45:34
$0047,apparition alarme technique 47 defaut cam avigilon,SPGO,unknown,92,2026-03-01 11:47:06,2026-03-19 21:45:34
,mise hors service 0010,CORS,unknown,92,2026-02-28 06:00:44,2026-03-19 21:45:34
HSMSOK,,"CORS, PROVIDER_UNCLASSIFIED",unknown,91,2026-03-13 04:57:15,2026-03-19 21:45:34
12321,,"PROVIDER_UNCLASSIFIED, SPGO",unknown,90,2026-03-18 15:08:21,2026-03-19 21:45:34
04401,,"CORS, PROVIDER_UNCLASSIFIED",unknown,90,2026-03-13 04:46:21,2026-03-19 21:45:34
94,mise en service 0003,CORS,unknown,89,2026-03-19 14:18:01,2026-03-19 21:45:34
$0041,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,88,2026-03-19 00:29:36,2026-03-19 21:45:34
01407,,"CORS, PROVIDER_UNCLASSIFIED",unknown,88,2026-03-13 01:44:56,2026-03-19 21:45:34
0009,,CORS,UNK,88,2026-03-05 11:32:07,2026-03-19 21:45:34
,cam1 8 ajout de la camera resultat succes,SPGO,unknown,88,2026-03-01 14:15:38,2026-03-19 21:45:34
0100,,CORS,UNK,87,2026-03-05 11:56:38,2026-03-19 21:45:34
,operator action aucune anomalie apparente constatee,CORS,unknown,86,2026-03-17 02:48:48,2026-03-19 21:45:34
01401-MHS,mise hors service 0012,CORS,unknown,85,2026-03-19 08:32:21,2026-03-19 21:45:34
0103,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,85,2026-03-09 07:48:08,2026-03-19 21:45:34
0021,,"CORS, SPGO, YPSILON_HISTO",unknown,85,2026-03-09 07:18:09,2026-03-19 21:45:34
$0104,,"CORS, SPGO",unknown,84,2026-03-19 04:57:55,2026-03-19 21:45:34
0014,,"CORS, PROVIDER_UNCLASSIFIED, YPSILON_HISTO",unknown,84,2026-03-09 09:05:44,2026-03-19 21:45:34
94,mise en service 0001,CORS,unknown,83,2026-03-19 15:37:57,2026-03-19 21:45:34
$0103,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,83,2026-03-17 00:12:55,2026-03-19 21:45:34
$0034,,"CORS, PROVIDER_UNCLASSIFIED",unknown,83,2026-03-13 00:59:52,2026-03-19 21:45:34
0901,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,80,2026-03-09 08:18:30,2026-03-19 21:45:34
0007,,CORS,UNK,80,2026-03-05 11:18:16,2026-03-19 21:45:34
,mise en service 0000,CORS,unknown,80,2026-02-28 05:37:23,2026-03-19 21:45:34
94,mise en service 0000,CORS,unknown,79,2026-03-19 16:20:30,2026-03-19 21:45:34
0023,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,78,2026-03-09 08:25:14,2026-03-19 21:45:34
710,,"CORS, SPGO",UNK,78,2026-03-02 12:47:52,2026-03-19 21:45:34
01401,mise en service 0012,CORS,unknown,77,2026-03-19 02:21:53,2026-03-19 21:45:34
$0017,disparition technique 17 defaut nvr th,SPGO,unknown,77,2026-03-01 12:10:18,2026-03-19 21:45:34
$0017,apparition technique 17 defaut nvr th,SPGO,unknown,77,2026-03-01 12:08:30,2026-03-19 21:45:34
,cam1 9 ajout de la camera resultat succes,SPGO,unknown,76,2026-03-01 14:15:38,2026-03-19 21:45:34
,mise en service 0012,CORS,unknown,76,2026-02-28 05:35:07,2026-03-19 21:45:34
